request,type
schedule a doctor's appointment tomorrow,create_event
Add college trip friday to my calendar,create_event
Book a lunch meeting at 2pm today,create_event
Schedule Enviro Eng midterm tomorrow at 10,create_event
Add event on Mondays: Meeting 2pm @Uris Hall,create_event
Can you add this event to my calendar?,create_event
Add an event for Wednesday from 4 to 5 for a group meeting in the ugli,create_event
schedule an event for 10:30am every day,create_event
Add an event on Monday 3:00,create_event
Please add the meeting with Grace on October 25 10am for 1 hour.,create_event
Create event 6 pm monday,create_event
Set up a group meeting next Monday 5 to 7 pm,create_event
Add Golf on Tuesday,create_event
Schedule a meeting for next Tuesday at 5pm,create_event
Note that I need to pick up my brother from the park at 11 on my calendar,create_event
Add Study at Galvanize from 6pm to 11pm tonight,create_event
Add IAG Meeting every Wednesday at 6 pm,create_event
Add frisbee at 10 tuesday,create_event
schedule a lunch with tony stark at 2:30 for Monday,create_event
Set up advising hold meeting for 1 tomorrow,create_event
Make event for visit from Nelly on Nov 11 at 10:53pm to Nov 13 at 12am,create_event
Can you add this event at 5pm next Monday to my calendar?,create_event
Add 2 pm conference meeting just for today,create_event
Can you make an event for visit to new york from Thanksgiving to Dec 5,create_event
Set an event for 10am next Tuesday until 3pm,create_event
Can you add an event for my dentist at 4 pm on monday,create_event
Schedule talking to Mom at 10 tonight,create_event
Set an event called Visit Juno on Wednesday 3pm,create_event
Add Gym at 10 to 12 on Tuesday,create_event
Can you create an event called going home from 7pm to 9pm,create_event
"Can you create the event ""Bronx Science Alumni Speaker Panel"" at 11am on june 5 at Bronx Science",create_event
Add an event for 5PM for group project,create_event
add discussion meeting every first sunday at 10 am at the denver culture center,create_event
add study meeting every fourth thursday of the month at 7pm,create_event
Meeting with John at 4:30 next monday for an hour,create_event
Schedule a meeting with Bill at 1:30pm next Monday,create_event
"add ""Flying to JFK"" at 1:00pm next Friday",create_event
Can you schedule my Doctor's Appointment for this friday at 7am?,create_event
"Assistant, can you set an event for next Tuesday at Washington square park midday.",create_event
can you create an appointment for monday at 10 - meet jeff for lunch,create_event
Can you schedule a doctors appointment for next Monday at 5?,create_event
"add an event 'See Mom' at 3pm, next thursday",create_event
Schedule meeting at 4pm on Monday for curriculum development,create_event
Add meeting with dennis at RoboMindTech at 8pm for two hours next Thursday,create_event
Please add math exam next Tuesday at 6 PM,create_event
Add my weekly 7pm shift on Wednesdays to my calendar,create_event
Can you set up weekly meeting at 2pm every thursday with Steve to review the budget?,create_event
"Make event ""Go to the lab"" for three hours on Saturday at 2",create_event
Can you add an event for next Thursday at 2PM?,create_event
Add Construction department planning meeting at 4pm tomorrow at Sabrina's house,create_event
Add meeting Joe for coffee at 7 this thursday,create_event
add cs124 @ 2pm every monday,create_event
"create event ""speaker presentation"" 12-1:30pm tomorrow at ""Data Science classroom""",create_event
Please schedule a 4 o'clock meeting for this Wednesday.,create_event
Add work on paper on friday from 10am to midnight,create_event
Can you add an event for the Open House at 6pm this Wednesday?,create_event
Book interview next Wednesday Linda at 11:30,create_event
Schedule a meeting for 2pm on Wednesday.,create_event
add meeting with instructors at 12 tmrw,create_event
add visiting mom at 10am next tuesday,create_event
add Robotics meeting next thursday,create_event
"add ""distribute cookies to survey participants"" today from 11 to 12pm",create_event
Add business club meeting from 4 to 6 PM every Sunday,create_event
Schedule midterm for 15-150 at noon to 1:30 on 11/6,create_event
Make event next Thursday starting at 10 AM for three hours,create_event
Add cabinet meeting at Tuesday 4pm,create_event
Schedule meeting Wednesday at 8:00 pm in 202 Good,create_event
Could you add my meeting to my calendar for Tuesday at 1:00?,create_event
Set up an appointment at 5 next week,create_event
Create an event called council meeting at 7pm,create_event
"Schedule a meeting with Bob and Sarah for 3pm called ""Our Meeting""",create_event
add visit mom's tomorrow at 6,create_event
Add Wedding in Chinatown at 5P.M. Monday,create_event
Create meeting tomorrow from 4 pm to 5,create_event
"Schedule SLT meeting, 4pm. Boy's school.",create_event
Respond to emails at 11am each weekday,create_event
Have an essay due in two weeks,create_event
Can you make a note of my appointment at 5 pm next Thursday?,create_event
Add event - meeting for 3 hrs - begins at 2pm on 11/11,create_event
Add meeting to my calendar at 2,create_event
Schedule going to friend's house next saturday,create_event
Make doctors appointment at 11:30 AM next Monday,create_event
Add to calendar visit with mom next Tuesday at 10am,create_event
Schedule an appointment for public relations,create_event
Note that it's Mama's birthday on Sunday,create_event
Make an event for Soohyun's birthday celebration at 7pm january 5 at home,create_event
Add 10am meeting tomorrow,create_event
"Add an event for Monday, October 25th at 4pm. Make it repeat every week",create_event
Schedule test next Monday on 4pm,create_event
Add class from 11:45 to 1:30 every tuesday and friday,create_event
"Can you add ""marketing meeting"" at 4pm for next Monday?",create_event
Can you add a meeting scheduled for the 25th lunch time? Thanks,create_event
Create meeting at 10am tomorrow morning,create_event
Schedule a meeting at 5 on Monday for photography club,create_event
add meeting dad today at 1,create_event
"Can you schedule ""Meeting"" from 3pm to 6pm every weekday?",create_event
Create an event called movies on Monday at 5.,create_event
Set appointment at 6:30 on Friday,create_event
"Add a meeting on my calendar for Tuesday, 10P.M.",create_event
Create an event for next Tuesday's 430 career dev lecture,create_event
Schedule a meeting tomorrow at 9 for me,create_event
Set a meeting tomorrow at 9 pm at 4-134,create_event
"Add ""eating with my brother"" to my calender",create_event
Add writing sem appt tmrw 3pm,create_event
create tmrw's meeting at 8pm,create_event
Schedule 11/21 2pm party at Darren's house,create_event
make tmrws appt at 4,create_event
Add mtg with the administration at 3pm on monday,create_event
Can you add an event on Tuesday from 8 to 10 pm?,create_event
Add talk next Tuesday at 1PM,create_event
Add meeting w/ Donna for Wednesday at 9.,create_event
Add an event for this Friday all day called interviews,create_event
"Create event ""Visit Mom"" at 10am next Tuesday for two hours",create_event
Set a meeting from 4 to 5pm on Thursday,create_event
"Create an event on October 23rd, from 10 am to 1 pm. Name it ""theme park adventure""",create_event
Make an appointment at 5:00am for me,create_event
Add dentist appointment at 2.30 pm this Friday,create_event
Add visiting Mom at 10am next Tuesday for two hours,create_event
Add dinner with mom next Monday at 9,create_event
I have a test on Tuesday. Can you mark that on the calendar?,create_event
Can you schedule a violin lesson for this Thursday at 5?,create_event
add sleep from 12 am to 7am tonight,create_event
Add event from 10 to noon on Sunday,create_event
Going to school tomorrow at 8AM until 3PM. add that to my calendar?,create_event
add pick up my daughter at 10.,create_event
create event at 3pm on Monday from 3:30 to 5,create_event
Make an appointment on Tuesday for 5PM for an hour long,create_event
Set meeting at 9 on Tuesday.,create_event
Please schedule a meeting at 10 am every other Saturday for marketing team.,create_event
Make appt on November 2 for Doctor at 11am,create_event
Create an event for tmrw's meeting at 3,create_event
Please make an appointment to go to the doctor's office at one next monday,create_event
add work on homework from 6-10:15pm tonight,create_event
schedule meeting tomorrow at 10 am,create_event
add community breakfast from 8 to 10 tomorrow,create_event
Can you add an event for my meeting at 3pm tomorrow?,create_event
Schedule interview @12 with Grace. set a reminder 1 hour before,create_event
add an event for class at 5pm on Monday,create_event
Add leaving JFK on November 15th at 2:00 PM,create_event
add meeting at BBB at 5 on tuesday,create_event
book meeting at 3 pm two weeks from tomorrow,create_event
add study for orgo tomorrow all day,create_event
schedule test on Friday 10am,create_event
create meeting Tuesday 6pm every week till December 16,create_event
"On Tuesday, I will have a dinner with my boss at 5pm. can you add that to the calendar?",create_event
add Estes Park at 8am on Saturday until 7pm,create_event
doctor appointment at 12 pm on monday,create_event
add snowboarding at 10 am next week saturday,create_event
I have an appointment at 10 on Monday. Can you put it on my calendar?,create_event
add hot springs at 2pm on Sunday next week,create_event
I have an office meeting tomorrow at noon. Can you add that into my schedule?,create_event
add visiting home sat morning,create_event
Create event for meeting professor on Thursday @3,create_event
"Schedule an event called ""marketing meeting"" for tomorrow at 4.",create_event
add fix laptop tomorrow afternoon,create_event
set an appt at 9:30 am every wednesday and thursday for scratch team planning meeting,create_event
Add an event at 2pm next Monday to meet calculus professor,create_event
Add in date night tomorrow @ 5p.m.,create_event
add doctor tomorrow at 5,create_event
add meeting with Solomon this Thursday from 2 to 3 pm,create_event
Add to calendar marketing meeting at 4pm every Monday until December 22nd,create_event
"Hey, could you add an event for me?",create_event
add club meeting every Thursday at 12pm.,create_event
Add an event for the fair on tuesday at 6 pm,create_event
"Add ""Buddhism essay due"" next Wednesday.",create_event
Add 3:30pm doctor's appt. on December 7th.,create_event
can you schedule an appointment next thursday?,create_event
"Can you add ""Lunch with Kristin"" at 1:30pm for today?",create_event
Can you make an appointment at my doctor's for next thursday at 2pm?,create_event
Schedule a meeting for 4 PM on Tuesday,create_event
Schedule work out every weeknight at 7,create_event
Schedule test 11am Friday,create_event
Add an event on Tuesday for my fried chicken date.,create_event
I've got a meeting at 5pm on Wednesday - can you add that to my calendar?,create_event
add meet friends at 8:00,create_event
Add Event: 6:30 Fri Laser Quest Birthday Party,create_event
"Add an event to my calendar, doctors appointment Monday at 9am",create_event
calendar add event next tuesday 7pm happy hour at galvanize,create_event
Schedule class 9:30 to 10:45 room 3100 stats,create_event
Please add my work time to my calendar. I start at 9am and end at 5pm every weekday.,create_event
Add dinner with mom today at 6pm,create_event
Add haircut Thursday next week at noon.,create_event
Add hanging out with friends at 2 tomorrow to calendar,create_event
Add a meeting to my schedule for November 1,create_event
"Create event for November 12, 6pm, 2 hours, Dinner with Lauren",create_event
Please add my super fun party happening next Saturday at six,create_event
Schedule street sweeping the first and third Thursdays of every month,create_event
Add go home at noon tomorrow.,create_event
Could you please make a meeting with Mark on Monday evening at 7?,create_event
Schedule lunch with Lando from one to three next Wednesday,create_event
Add event: trip to see mom on tuesday at 10am,create_event
Add appointment to my calendar on Friday at 4,create_event
Make appt for hair salon next week at 3pm on friday. This may take 2 hours.,create_event
add Jamaica trip to calendar,create_event
Please add laser tag to my schedule Monday at 9 am every week.,create_event
Schedule dinner with the girls tomorrow at 7,create_event
Schedule 1h meeting next thursday at 2PM with Evan,create_event
Add coffee with Brandon at 10am tomorrow,create_event
Please add Tim's birthday party next Tuesday,create_event
Schedule Lunch with Tom at 11:30am on Tuesday.,create_event
add volunteer event to calendar for thursday at 3pm,create_event
Can you please add an event to my calendar for my dentist appointment next Tuesday at 4:00pm?,create_event
Set a meeting this Tuesday at 11:30 AM,create_event
Schedule morning workout at 6:30 am,create_event
add a new event to my calendar tomorrow at noon,create_event
Add Haircut today a 3:30,create_event
Schedule a meeting with the Anderson's at 4:00pm next Tuesday.,create_event
add yoga at 6 on friday,create_event
add studying for the next two hours,create_event
Add that I'm teaching the 8AM session tomorrow.,create_event
Create event for get groceries at 10,create_event
Schedule meeting at 3pm tomorrow for the dentist,create_event
Set event for 5 AM 10/30 buy tampons,create_event
Schedule robotics meeting Tuesday until 6pm,create_event
Please add an event for Thursday night at 7pm,create_event
Make meeting harry at 2 at mattin,create_event
add Next Wednesday: Dinner with Mom 8pm @ Kimchee,create_event
"When you get the chance, can you add this event to my calendar?",create_event
Create group meeting in the ugli from 4 to 5 this wednesday,create_event
add this event to my calendar on September 7th at 4pm,create_event
Add event called busy on Tuesday from 9-11,create_event
Schedule me the meeting with Grace on 10/25 for 1 hour,create_event
Monday 6 to 8 pm add event,create_event
Add group meeting next Monday 5 to 7pm,create_event
Please schedule my appointment for the 1st,create_event
Add pick up mom from jfk next saturday at 5,create_event
"Schedule class at 3 on Mondays, Wednesdays, and Fridays for 14 weeks",create_event
Add return item this Saturday,create_event
Add frisbee at 10pm tuesday,create_event
"If I'm free, put homework time for 7 tomorrow evening",create_event
Set an appt for a dentist appointment next Thursday at 3pm.,create_event
I have a meeting next Friday at 2 pm. Can you add this to my calendar.,create_event
"Hey, 7 AM on October 21st, add birthday surprise to calendar",create_event
Add tennis clinic tuesdays 10-2pm,create_event
Put down an event for 10am-3pm,create_event
Can you add my friends birthday on oct 25th evey year,create_event
Add going to brunch with Judy around 2,create_event
Write an event to do homework from 3-5 today,create_event
"Add wake up at 7AM every monday, wednesday, and friday",create_event
Add bowling at October 27 to my Calendar,create_event
Create an event at 5PM to go to school for 1 hour,create_event
Create team meeting on Friday at 3,create_event
Schedule HoQo Meeting from 8-9 every monday,create_event
Add lunch with Richard on Friday at noon,create_event
Create event for Halloween party on the 31st from 8pm to midnight,create_event
Add gym tomorrow @ 4pm for an hour.,create_event
Set an event for November 15th at work 4pm.,create_event
Schedule event at 1 go to gym,create_event
Set an appt for the doctor tomorrow,create_event
Schedule dinner with family at 9pm today,create_event
Schedule meeting for science olympiad at 4pm on Monday and Wednesday,create_event
Schedule an appointment,create_event
Add math exam next Tuesday 6 PM,create_event
Can you add my meeting tomorrow with Doug at 5?,create_event
Create an event for every Monday at 10am to review JIRA.,create_event
Create an event to practice every Tuesday and Friday 4:30pp,create_event
